time,12901,13217,16211,13745,46884,13435,25741,24002,total,guo1,guo2,guo3,guo4,guo5,guo6,guo7,guo8
2020/6/2 22:00,-3.083333333,-0.652777778,-4.833333333,0.25,-0.333333333,-3.666666667,3,19.66666667,1.571428571,-11.4166667,-25.16666667,-16.91666667,-9.166666667,-3.916666667,-33.41666667,-21.25,-13.75
2020/6/2 23:00,-12.33333333,-21.36507937,-4.583333333,0.416666667,-5,0.333333333,22,20.6969697,2.474182444,-17.4166666,-5.833333333,-13.33333333,-20.66666667,-9.166666667,15.5,-0.75,7.583333333
2020/6/3 0:00,-18.91666667,-25.10714286,-0.333333333,-3.75,0.916666667,-2.5,-41.66666667,-45.78030303,-11.1125753,-12.9166667,-11.11666667,0.416666667,-21.25,-22.91666667,-23,-22,-29.58333333
2020/6/3 1:00,-28.08333333,-15.25,0.583333333,-0.25,0.083333333,-0.5,-24.41666667,-18.08333333,-10.73958333,-48.5,-64.8,-54,-23.66666667,-10.83333333,-6.583333333,0.083333333,-44.5
2020/6/3 2:00,2.083333333,-6.666666667,-5.833333333,-0.583333333,0.5,-0.333333333,-9.25,4.318181818,-2.126535088,-14.75,3.333333333,-16.58333333,-38.08333333,-6.583333333,-0.583333333,5.583333333,13.66666667
2020/6/3 3:00,-7,-8.5,-1.666666667,2.416666667,-1.916666667,-1.416666667,-11.83333333,7.681818182,-2.623464912,0.25,-1.666666667,1.916666667,7.833333333,5.833333333,-6.416666667,4.75,3.75
2020/6/3 4:00,-11.25,-8.166666667,5.75,-1.25,0.416666667,1.916666667,-0.75,-13.58333333,-3.364583333,-6.83333333,-13.75,-9.166666667,-10,1.5,-6.833333333,-9.833333333,-10.83333333
2020/6/3 5:00,-2.916666667,-6.5,-0.25,-1.166666667,-0.916666667,-3,-8.583333333,-19.91666667,-5.40625,-11.58333334,-8.083333333,-9.583333333,-5.083333333,-27,-8.666666667,-22.91666667,-11.66666667
2020/6/3 6:00,1.166666667,13.5,-5.166666667,0.583333333,0.666666667,0.583333333,-34.08333333,-4.333333333,-3.385416667,0.75,5.833333333,0.333333333,-6.083333333,-8.416666667,-4.333333333,-13.75,-0.333333333
2020/6/3 7:00,21.91666667,14.56060606,4.166666667,-0.5,3.333333333,-5.583333333,-6.916666667,14.58333333,5.327083333,6.75,10.33333333,11.58333333,14.66666667,13.33333333,12.41666667,9,14.25
2020/6/3 8:00,21.66666667,29.27272727,7.75,5.25,14.66666667,9.416666667,16.58333333,27.33333333,16.86041667,22.58333334,15.75,23.66666667,19.75,15.66666667,11.5,8.25,16.66666667
2020/6/3 9:00,31.83333333,30.5,11.66666667,21.33333333,17.66666667,4.416666667,-20,11.41666667,13.60416667,38.16666666,44.91666667,30.41666667,24.33333333,29.33333333,32.16666667,35.33333333,23.66666667
2020/6/3 10:00,33.15,26.31818182,13.06666667,16.68333333,41.06666667,15.58333333,34.03333333,38.5,28.7498745,24.33333337,24.58333333,14.75,29.83333333,37.75,26.91666667,197.3666667,36.33333333
2020/6/3 11:00,7.766666667,20.18181818,0.933333333,12.73333333,18.85,3.416666667,-10.95,19.08333333,7.552208835,19.75,19,22.08333333,20,49.66666667,22.41666667,-155.2,14.66666667
2020/6/3 12:00,6.916666667,-2.833333333,-7.666666667,-10.75,-3.083333333,27.5,12.08333333,10.08333333,4.03125,10.4166666,13,10.91666667,3.833333333,150.0833333,29.75,-1.333333333,25.58333333
2020/6/3 13:00,0.916666667,-18.08333333,10.75,-12.66666667,-37.16666667,-5.666666667,15.33333333,10.15151515,-5.176864035,-33.5833333,-31.16666667,-25.25,108.25,-217.4166667,112.4166667,-31.83333333,-31.25
2020/6/3 14:00,-17.33333333,7.583333333,0,26.66666667,-27.83333333,-0.083333333,-1,-24.15151515,-3.896052632,-8.8333333,-15.58333333,-17.41666667,-143.5,-10.75,-204.9166667,-17,-23.5
2020/6/3 15:00,-9.083333333,0.833333333,-16.83333333,-26.58333333,-0.75,-13.08333333,-0.5,-13.33333333,-9.916666667,4.5,3.75,2.833333333,-1.916666667,2.083333333,7.083333333,3.833333333,4.333333333
2020/6/3 16:00,13.66666667,5.333333333,5.833333333,-13,-2.416666667,-34.41666667,22.58333333,2.666666667,0.03125,5.75,8.166666667,-2.833333333,14.15909091,1.5,3.916666667,4.333333333,8.416666667
2020/6/3 17:00,-1.5,-5.651515152,0,9.083333333,3.916666667,20.5,15.58333333,2.25,4.770942982,4.5833333,0.75,8.416666667,7.545454545,0.333333333,3,-4.083333333,4.25
2020/6/3 18:00,-23.08333333,-13.84848485,-7.583333333,-7.083333333,-16,8.916666667,35.08333333,-19.75,-4.666776316,7.25,-7.166666667,-0.166666667,0.962121212,-3.916666667,-6.833333333,-14.08333333,-2.416666667
2020/6/3 19:00,-27.25,-30.58333333,-4.75,-6.75,-6.333333333,-9.5,47.5,4.666666667,-4.125,-13.75,-4.416666667,-22.41666667,-20.25,-37.66666667,7.25,-27.75,-8.083333333
2020/6/3 20:00,-1,-8.416666667,-4.333333333,-2.583333333,-1.583333333,-25.83333333,-51.08333333,7.25,-10.94791667,-23.08333333,-3.333333333,11.66666667,-1.083333333,-33.91666667,-31.33333333,-46.75,-19.08333333
2020/6/3 21:00,17.33333333,-8.083333333,-5.166666667,-3.833333333,-2.416666667,18.33333333,-9.333333333,4.833333333,1.458333333,10.58333333,7.416666667,-1.916666667,10.66666667,-12.66666667,-45.58333333,-12.25,12.08333333
2020/6/3 22:00,-26.08333333,-6.916666667,-3.5,-3.916666667,1.5,-1,-21.83333333,-61.83333333,-15.44791667,25,-10.83333333,30.33333333,-13.75,-20.33333333,35.5,-1,-4.666666667
2020/6/3 23:00,-20.66666667,-9.083333333,-0.333333333,-2.583333333,-0.333333333,-10,-0.916666667,-15.75,-7.458333333,-43.5,-74.08333333,-24.25,-23,14.75,-31.33333333,10.25,-68.5
2020/6/4 0:00,-7.909090909,-22,-1.5,-2,0.931818182,-2.583333333,-24.66666667,-8.083333333,-8.514406028,-51.83333333,-19.91666667,-54.66666667,-9.5,26.75,30.75,10.25,-36.83333333
2020/6/4 1:00,-15.00757576,4.75,0.25,-0.083333333,-2.515151515,4.583333333,-52.08333333,-27,-10.8501773,-1.25,13.91666667,7.166666667,5.25,3.583333333,-4.916666667,17.25,3.166666667
2020/6/4 2:00,-7.25,-12.83333333,1.25,-0.416666667,-1.916666667,-2.25,5.5,0.666666667,-2.15625,-25.08333334,-1.333333333,-31.58333333,-24.5,-7.833333333,-8.333333333,-7.166666667,0.583333333
2020/6/4 3:00,-4.916666667,-15.66666667,-2.25,-0.333333333,1.166666667,-3.083333333,-7.25,4.333333333,-3.354714912,12.08333334,-22.58333333,-3.5,-39.33333333,-35.16666667,-9.75,-19.08333333,11.5
2020/6/4 4:00,16.33333333,-8,-0.6,0.916666667,0.416666667,1.166666667,20.08333333,28.83333333,7.712206047,-12.25,0.416666667,-5.583333333,6.75,-2,-45,-6.916666667,-6.5
2020/6/4 5:00,-13.25,-6.416666667,2.963636364,0.916666667,-0.083333333,-1.333333333,13.16666667,-1.083333333,-0.912206047,3.416666663,25.16666667,6.166666667,3.583333333,10.25,8,7.5,15.66666667
2020/6/4 6:00,0.666666667,17.37121212,1.553030303,-0.166666667,0.666666667,-3.666666667,8.666666667,4.083333333,3.368421053,9.25,5,8.333333333,3.916666667,5.333333333,4.666666667,5.416666667,-8.583333333
2020/6/4 7:00,16.58333333,11.79545455,6.5,1.5,4.833333333,-0.833333333,-22.58333333,2.25,2.59254386,-1.08333333,-11.25,1.916666667,4.083333333,2.416666667,23.5,3.416666667,6.333333333
2020/6/4 8:00,18,12.33333333,5.333333333,14.25,3.416666667,1.166666667,-20,4.75,4.90625,10.08333333,23.08333333,0.666666667,-5.416666667,10.41666667,5.916666667,9.166666667,20.75
2020/6/4 9:00,2.083333333,3.25,8.333333333,15.58333333,16.75,9.333333333,-2.166666667,8.166666667,7.666666667,20.75,10.25,19.83333333,11.83333333,11.66666667,5.833333333,12.33333333,9.75
2020/6/4 10:00,13.83333333,13.33333333,16.16666667,24.16666667,20,23.25,21.58333333,12.75,18.13541667,13.83333334,18.5,8.583333333,16.66666667,12.58333333,11.25,11.16666667,13.58333333
